tahun,provinsi,kabupaten_kota,kecamatan,kelurahan,jenis_kelamin,jumlah
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Laki-Laki,8490
2020,DKI Jakarta,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Laki-Laki,6186
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,KALIDERES,Laki-Laki,14659
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,SEMANAN,Laki-Laki,15622
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Laki-Laki,17387
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,KAMAL,Laki-Laki,11948
2020,DKI Jakarta,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Laki-Laki,15065
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,PALMERAH,Laki-Laki,12174
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,SLIPI,Laki-Laki,3211
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,Laki-Laki,5181
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,JATI PULO,Laki-Laki,5764
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KEMANGGISAN,Laki-Laki,5904
2020,DKI Jakarta,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,Laki-Laki,4456
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Laki-Laki,11233
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Laki-Laki,8506
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Laki-Laki,6643
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Laki-Laki,9251
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,JOGLO,Laki-Laki,8311
2020,DKI Jakarta,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Laki-Laki,4911
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET TIMUR,Laki-Laki,2898
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,TEBET BARAT,Laki-Laki,3534
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MENTENG DALAM,Laki-Laki,6866
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,KEBON BARU,Laki-Laki,6958
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,BUKIT DURI,Laki-Laki,6472
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Laki-Laki,4270
2020,DKI Jakarta,JAKARTA SELATAN,TEBET,MANGGARAI,Laki-Laki,5467
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Laki-Laki,459
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Laki-Laki,457
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Laki-Laki,2887
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KARET,Laki-Laki,1644
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Laki-Laki,5286
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Laki-Laki,5113
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Laki-Laki,531
2020,DKI Jakarta,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Laki-Laki,1076
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Laki-Laki,3509
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Laki-Laki,3935
2020,DKI Jakarta,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Laki-Laki,8110
