,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
3054,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Karyawan Swasta,5841
3055,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Karyawan BUMN,95
3056,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Karyawan BUMD,4
3057,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Karyawan Honorer,12
3058,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Buruh Harian Lepas,126
3059,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Buruh Tani/Perkebunan,1
3060,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pembantu Rumah Tangga,1
3061,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Tukang Jahit,0
3062,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Mekanik,2
3063,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Seniman,17
3064,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pendeta,45
3065,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Wartawan,6
3066,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Anggota DPR-RI,1
3067,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Dosen,39
3068,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Guru,53
3069,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pilot,10
3070,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pengacara,20
3071,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Notaris,5
3072,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Arsitek,8
3073,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Konsultan,10
3074,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Dokter,131
3075,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Bidan,0
3076,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Perawat,0
3077,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Apoteker,2
3078,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Psikiater/Psikolog,0
3079,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pelaut,8
3080,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Sopir,14
3081,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Pedagang,157
3082,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Wiraswasta,2242
3083,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,LAKI-LAKI,Lainnya,5
3084,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Belum/Tidak Bekerja,134
3085,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Mengurus Rumah Tangga,0
3086,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,LAKI-LAKI,Pelajar/Mahasiswa,109
