,Kabupaten_Kota,Kecamatan,Kelurahan,Kelamin,Pekerjaan,Jumlah
12181,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Pastor,0
12182,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Wartawan,0
12183,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Dosen,1
12184,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Guru,8
12185,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Pilot,0
12186,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Pengacara,1
12187,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Arsitek,1
12188,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Konsultan,0
12189,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Dokter,0
12190,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Bidan,1
12191,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Perawat,0
12192,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Pelaut,0
12193,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Sopir,0
12194,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Pedagang,13
12195,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Biarawan/Biarawati,0
12196,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Wiraswasta,84
12197,JAKARTA PUSAT,MENTENG,KEBON SIRIH,PEREMPUAN,Lainnya,4
12198,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Belum/Tidak Bekerja,2
12199,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Mengurus Rumah Tangga,169
12200,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pelajar/Mahasiswa,10
12201,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pensiunan,4
12202,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pegawai Negeri Sipil,5
12203,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Tentara Nasional Indonesia,0
12204,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Kepolisian RI,0
12205,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Perdagangan,2
12206,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Petani/Pekebun,0
12207,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Karyawan Swasta,93
12208,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Karyawan BUMN,1
12209,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Karyawan Honorer,0
12210,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Buruh Harian Lepas,3
12211,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Tukang Kayu,0
12212,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Tukang Jahit,0
12213,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Seniman,1
12214,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pendeta,1
12215,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Wartawan,0
12216,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Anggota DPR-RI,0
12217,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Dosen,1
12218,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Guru,2
12219,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pilot,0
12220,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pengacara,0
12221,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Akuntan,0
12222,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Konsultan,0
12223,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Dokter,2
12224,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Sopir,0
12225,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Pedagang,4
12226,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Wiraswasta,26
12227,JAKARTA PUSAT,TANAH ABANG,GELORA,PEREMPUAN,Lainnya,2
12228,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Belum/Tidak Bekerja,26
12229,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Mengurus Rumah Tangga,1386
12230,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pelajar/Mahasiswa,82
12231,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pensiunan,93
12232,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pegawai Negeri Sipil,52
12233,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Tentara Nasional Indonesia,2
12234,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Kepolisian RI,9
12235,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Perdagangan,0
12236,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Petani/Pekebun,0
12237,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Nelayan/Perikanan,0
12238,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Industri,0
12239,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Konstruksi,0
12240,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Transportasi,0
12241,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Karyawan Swasta,680
12242,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Karyawan BUMN,14
12243,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Karyawan BUMD,0
12244,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Karyawan Honorer,6
12245,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Buruh Harian Lepas,13
12246,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Buruh Nelayan/Perikanan,0
12247,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pembantu Rumah Tangga,9
12248,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Mekanik,0
12249,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Seniman,0
12250,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pendeta,1
12251,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pastor,0
12252,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Wartawan,1
12253,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Anggota DPR-RI,0
12254,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Anggota DPRD Provinsi,0
12255,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Dosen,7
12256,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Guru,21
12257,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pilot,0
12258,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pengacara,1
12259,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Notaris,5
12260,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Arsitek,0
12261,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Konsultan,0
12262,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Dokter,15
12263,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Bidan,1
12264,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Perawat,10
12265,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Apoteker,2
12266,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pelaut,0
12267,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Sopir,0
12268,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Pedagang,38
12269,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Biarawan/Biarawati,1
12270,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Wiraswasta,173
12271,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PEREMPUAN,Lainnya,7
12272,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Belum/Tidak Bekerja,9
12273,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Mengurus Rumah Tangga,1024
12274,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pelajar/Mahasiswa,38
12275,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pensiunan,29
12276,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pegawai Negeri Sipil,30
12277,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Tentara Nasional Indonesia,0
12278,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Kepolisian RI,1
12279,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Perdagangan,0
12280,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Industri,0
12281,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Konstruksi,0
12282,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Karyawan Swasta,515
12283,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Karyawan BUMN,5
12284,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Karyawan BUMD,0
12285,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Karyawan Honorer,5
12286,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Buruh Harian Lepas,18
12287,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pembantu Rumah Tangga,1
12288,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Tukang Jahit,1
12289,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Mekanik,0
12290,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Seniman,1
12291,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pendeta,0
12292,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Wartawan,3
12293,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Ustadz/Mubaligh,0
12294,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Anggota DPR-RI,0
12295,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Anggota Kabinet/Kementerian,0
12296,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Dosen,4
12297,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Guru,24
12298,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pengacara,1
12299,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Notaris,1
12300,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Konsultan,1
12301,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Dokter,7
12302,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Bidan,1
12303,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Perawat,1
12304,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Apoteker,1
12305,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Psikiater/Psikolog,1
12306,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pelaut,0
12307,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Peneliti,0
12308,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Sopir,0
12309,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Pedagang,45
12310,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Wiraswasta,167
12311,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,PEREMPUAN,Lainnya,6
12312,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Belum/Tidak Bekerja,37
12313,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Mengurus Rumah Tangga,1957
12314,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pelajar/Mahasiswa,122
12315,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pensiunan,27
12316,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pegawai Negeri Sipil,25
12317,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Tentara Nasional Indonesia,0
12318,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Kepolisian RI,0
12319,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Perdagangan,1
12320,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Petani/Pekebun,0
12321,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Nelayan/Perikanan,0
12322,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Industri,1
12323,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Konstruksi,1
12324,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Transportasi,0
12325,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Karyawan Swasta,631
12326,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Karyawan BUMN,6
12327,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Karyawan BUMD,2
12328,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Karyawan Honorer,4
12329,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Buruh Harian Lepas,12
12330,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Buruh Tani/Perkebunan,1
12331,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Buruh Nelayan/Perikanan,0
12332,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Buruh Peternakan,0
12333,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pembantu Rumah Tangga,1
12334,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Tukang Kayu,0
12335,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Tukang Jahit,5
12336,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Mekanik,0
12337,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Seniman,2
12338,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pendeta,5
12339,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Wartawan,2
12340,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Dosen,0
12341,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Guru,46
12342,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pengacara,0
12343,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Dokter,8
12344,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Perawat,2
12345,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pelaut,0
12346,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Peneliti,0
12347,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Sopir,0
12348,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Pedagang,65
12349,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Wiraswasta,204
12350,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,PEREMPUAN,Lainnya,19
12351,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Belum/Tidak Bekerja,22
12352,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Mengurus Rumah Tangga,2197
12353,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pelajar/Mahasiswa,156
12354,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pensiunan,16
12355,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pegawai Negeri Sipil,38
12356,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Tentara Nasional Indonesia,21
12357,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Kepolisian RI,0
12358,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Perdagangan,0
12359,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Petani/Pekebun,0
12360,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Nelayan/Perikanan,0
12361,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Industri,0
12362,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Konstruksi,0
12363,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Transportasi,0
12364,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Karyawan Swasta,576
12365,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Karyawan BUMN,7
12366,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Karyawan BUMD,0
12367,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Karyawan Honorer,3
12368,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Buruh Harian Lepas,11
12369,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Buruh Tani/Perkebunan,1
12370,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Buruh Nelayan/Perikanan,0
12371,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pembantu Rumah Tangga,5
12372,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Tukang Jahit,0
12373,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Penata Busana,1
12374,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Mekanik,0
12375,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Seniman,0
12376,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Perancang Busana,1
12377,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pendeta,1
12378,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Wartawan,0
12379,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Anggota DPRD Kabupaten/Kota,0
12380,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Dosen,2
12381,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Guru,35
12382,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pengacara,2
12383,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Notaris,2
12384,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Arsitek,0
12385,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Akuntan,0
12386,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Konsultan,1
12387,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Dokter,4
12388,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Bidan,1
12389,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Perawat,3
12390,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pelaut,0
12391,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Sopir,0
12392,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Pedagang,34
12393,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Wiraswasta,273
12394,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,PEREMPUAN,Lainnya,14
12395,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Belum/Tidak Bekerja,19
12396,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Mengurus Rumah Tangga,1442
12397,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pelajar/Mahasiswa,60
12398,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pensiunan,52
12399,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pegawai Negeri Sipil,31
12400,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Tentara Nasional Indonesia,0
12401,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Kepolisian RI,0
12402,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Petani/Pekebun,0
12403,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Industri,1
12404,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Konstruksi,0
12405,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Karyawan Swasta,477
12406,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Karyawan BUMN,8
12407,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Karyawan BUMD,0
12408,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Karyawan Honorer,3
12409,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Buruh Harian Lepas,6
12410,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pembantu Rumah Tangga,3
12411,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Tukang Las/Pandai Besi,0
12412,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Tukang Jahit,0
12413,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Penata Rias,0
12414,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Mekanik,0
12415,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Seniman,3
12416,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Imam Mesjid,0
12417,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pendeta,1
12418,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Wartawan,0
12419,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Walikota,0
12420,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Dosen,7
12421,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Guru,20
12422,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pilot,0
12423,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pengacara,4
12424,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Notaris,0
12425,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Arsitek,0
12426,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Konsultan,0
12427,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Dokter,8
12428,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Bidan,4
12429,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Perawat,3
12430,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Apoteker,2
12431,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pelaut,0
12432,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Sopir,0
12433,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Pedagang,43
12434,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Biarawan/Biarawati,1
12435,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Wiraswasta,215
12436,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,PEREMPUAN,Lainnya,13
12437,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Belum/Tidak Bekerja,9
12438,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Mengurus Rumah Tangga,852
12439,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Pelajar/Mahasiswa,43
12440,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Pensiunan,16
12441,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Pegawai Negeri Sipil,10
12442,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Tentara Nasional Indonesia,0
12443,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Kepolisian RI,0
12444,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,PEREMPUAN,Perdagangan,0
