,Kabupaten_Kota,Kecamatan,Kelurahan,Penduduk,Di bawah umur,Hak pilih
31,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,29974,7928,22046
32,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,45030,13130,31900
33,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,27478,7587,19891
34,JAKARTA PUSAT,MENTENG,MENTENG,31988,8949,23039
35,JAKARTA PUSAT,MENTENG,PEGANGSAAN,29273,8326,20947
36,JAKARTA PUSAT,MENTENG,CIKINI,10421,2820,7601
37,JAKARTA PUSAT,MENTENG,GONDANGDIA,4900,1054,3846
38,JAKARTA PUSAT,MENTENG,KEBON SIRIH,15398,4267,11131
39,JAKARTA PUSAT,TANAH ABANG,GELORA,3936,1075,2861
40,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,26840,7252,19588
41,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,24411,7473,16938
42,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,42688,13236,29452
43,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,41722,12955,28767
44,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,27167,7629,19538
45,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,14773,4363,10410
46,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,47013,13748,33265
47,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,27323,8538,18785
48,JAKARTA PUSAT,JOHAR BARU,GALUR,23049,7100,15949
49,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,48241,14666,33575
50,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,112017,35936,76081
51,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,16207,5256,10951
52,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,44553,13515,31038
53,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,63010,25391,37619
54,JAKARTA UTARA,PENJARINGAN,PLUIT,57586,14812,42774
55,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,43866,13869,29997
56,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,78922,23986,54936
57,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,49833,16113,33720
58,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,37710,11939,25771
59,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,64686,20168,44518
60,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,87987,24960,63027
61,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,56827,18267,38560
62,JAKARTA UTARA,KOJA,KOJA,35922,11400,24522
63,JAKARTA UTARA,KOJA,TUGU UTARA,87457,29078,58379
64,JAKARTA UTARA,KOJA,LAGOA,76265,24902,51363
65,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,43947,14402,29545
